task,family,model,input,label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_per_seed
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,0,0.756276371308017,0.008313113053205062,0.7317073170731708,0.012195121951219523,0.743782429772768,0.01017358986302032,82
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,1,0.3409090909090909,0.0722681213194656,0.12820512820512822,0.05875097044815181,0.18344001896633477,0.07149448483738616,26
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,2,0.5638692281766093,0.03531819139127639,0.7676767676767676,0.01749546270271591,0.6500111037086387,0.029617568772552456,33
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-2,0.3831818181818181,0.06764485528316982,0.2903225806451613,0.03225806451612906,0.3301151678510169,0.04588817573251638,31
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,-1,0.5295438005530951,0.01633446845480125,0.6342592592592592,0.021215628217388083,0.5768621880941284,0.007950408748454662,72
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,0.7182477333531949,0.01868923293558407,0.7235772357723578,0.014081713882673819,0.7206851119894598,0.00649555201458212,82
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,0.2883838383838384,0.11892089542823035,0.14102564102564105,0.05875097044815181,0.18879598468815414,0.07771822484347465,26
acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,0.6120107962213225,0.005843626206372753,0.7171717171717171,0.01749546270271591,0.6604068857589984,0.010842258576330949,33
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-2,0.521978021978022,0.08565086411054885,0.3333333333333333,0.06715051611181075,0.4010196431249063,0.054571767249549076,31
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,-1,0.6274139241881177,0.0077837573851881415,0.7870370370370371,0.01603750747748965,0.698129442573887,0.00605679446726908,72
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,0,0.794961136424551,0.014518208494230543,0.7886178861788617,0.03725671296712066,0.7915883044372612,0.02413568728379688,82
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,1,0.40938228438228436,0.12255336199360228,0.20512820512820515,0.04441155916843276,0.27172227172227176,0.06081744034007351,26
acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,2,0.5956687456687457,0.03967304891128914,0.6969696969696969,0.030303030303030346,0.6421830832789737,0.03448926732214048,33
acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,-2,0.5038515406162465,0.03951932023014689,0.3333333333333333,0.0372484044638468,0.39935897435897433,0.024044870940398776,31
acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,-1,0.5777103013945118,0.014017937807401373,0.6203703703703703,0.008018753738744782,0.5982582582582583,0.010826315208457803,72
acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,0.6719373219373219,0.021067166295400168,0.7235772357723578,0.030690383883214472,0.696586048455146,0.021211376922185627,82
acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,0.344047619047619,0.03917733969501034,0.21794871794871795,0.022205779584216375,0.265527950310559,0.018307183420111145,26
acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,2,0.5692807406542965,0.035235895617701615,0.7070707070707071,0.0630807878626101,0.6302005316089824,0.042476302116424364,33
acceptance_5,tfidf,tfidf_word_logreg_raw,raw,-2,0.5257142857142857,0.0068677167151694534,0.3440860215053763,0.08118101543301881,0.411729574773053,0.059053221203932735,31
acceptance_5,tfidf,tfidf_word_logreg_raw,raw,-1,0.6330543260318541,0.013179186464697568,0.7824074074074074,0.008018753738744782,0.6998367328681337,0.011174912985087528,72
acceptance_5,tfidf,tfidf_word_logreg_raw,raw,0,0.8340015015015014,0.006354398881239589,0.7764227642276422,0.03520428470668451,0.8039470686321358,0.020262169542033054,82
acceptance_5,tfidf,tfidf_word_logreg_raw,raw,1,0.38974358974358975,0.07743419933611026,0.17948717948717952,0.04441155916843276,0.24501424501424504,0.05494957698571486,26
acceptance_5,tfidf,tfidf_word_logreg_raw,raw,2,0.532223250077089,0.018159027893105743,0.7474747474747474,0.03499092540543184,0.6217299578059072,0.02448257470614237,33
acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-2,0.4589506172839506,0.059261670475636005,0.3763440860215053,0.06715051611181072,0.41330049261083746,0.06385536266148267,31
acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,0.5916666666666667,0.007216878364870297,0.6574074074074074,0.008018753738744782,0.6228070175438597,0.007596714068284517,72
acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,0.7541614854290911,0.020592506707340145,0.6747967479674797,0.03725671296712063,0.7121802610749782,0.02997666402623165,82
acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,0.3500188536953243,0.036146398885066454,0.20512820512820515,0.02220577958421639,0.2578584206491183,0.02052561566777824,26
acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,2,0.5138888888888888,0.024056261216234345,0.7777777777777777,0.01749546270271591,0.6187165510261817,0.02067865265318722,33
applicability,transformer,bertimbau_weighted,raw,0,0.9527116002442506,0.0029963239334375195,0.8532110091743119,0.009894933729057406,0.9001880579464978,0.004238534321146535,763
applicability,transformer,bertimbau_weighted,raw,1,0.8624135172666029,0.0075723604145495355,0.9559491371480472,0.0034286259924026846,0.9067528128184557,0.002717145618219534,734
applicability,baseline,majority_baseline,none,0,0.509686038744155,0.0,1.0,0.0,0.6752212389380531,0.0,763
applicability,baseline,majority_baseline,none,1,0.0,0.0,0.0,0.0,0.0,0.0,734
applicability,baseline,stratified_random_baseline,none,0,0.5053707399782744,0.006739203575883693,0.4997815640017475,0.02424934746418162,0.5024517982636746,0.015613663691538425,763
applicability,baseline,stratified_random_baseline,none,1,0.48622990430601426,0.0063278253328002835,0.49182561307901906,0.012109256699340019,0.48890467641565366,0.003628328908366055,734
applicability,tfidf,tfidf_char_logreg_raw,raw,0,0.9842686893218695,0.0017057521191317698,0.7378768020969856,0.001310615989515096,0.8434455173310876,0.0007766160136902695,763
applicability,tfidf,tfidf_char_logreg_raw,raw,1,0.7837844478400559,0.0007579792456069945,0.9877384196185286,0.0013623978201634246,0.8740204026728519,0.0006166178410586361,734
applicability,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,0.9724770461324926,0.0017213871858781245,0.7409349060725208,0.0015133689887014887,0.841061102259987,0.0015690885209008107,763
applicability,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,0.7841283476905211,0.0011985144942154773,0.9782016348773842,0.00136239782016348,0.8704789557184949,0.0012498348244041233,734
applicability,tfidf,tfidf_word_linearsvc_raw,raw,0,0.9502011254803873,0.0036015552299096553,0.7916120576671036,0.003467563972561702,0.8636783331147146,0.001230879983743235,763
applicability,tfidf,tfidf_word_linearsvc_raw,raw,1,0.8154096470719566,0.002075738281841522,0.9568574023614896,0.00342862599240271,0.8804841599670933,0.0009970794285950092,734
applicability,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,0.9134643237894479,0.004588781434639515,0.7977282656181739,0.005909894826766558,0.8516746774683089,0.004455728601201731,763
applicability,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,0.8142177298213813,0.004633601902540353,0.9214350590372389,0.004379496258398266,0.8645097151033263,0.003761902458763085,734
applicability,tfidf,tfidf_word_logreg_raw,raw,0,0.9883080501317201,0.0010574178344922264,0.7387505460899956,0.004003997985981482,0.8454962598718665,0.0029918718455856645,763
applicability,tfidf,tfidf_word_logreg_raw,raw,1,0.7848969840253922,0.002716802964813181,0.9909173478655768,0.0007865807482147766,0.8759554188989388,0.001985856395525316,734
applicability,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,0.970389525673283,0.0019195645377984335,0.7444298820445608,0.002621231979030164,0.8425203470496984,0.0018628513012281204,763
applicability,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,0.7861083297084729,0.0017462439022997286,0.9763851044504995,0.0015731614964295212,0.8709747633148449,0.001321384238765725,734
intensity_3,transformer,bertimbau_weighted,raw,0,0.6323481607501739,0.05144950260321448,0.8008130081300813,0.04616998655122173,0.7044315706080413,0.015906423083736597,82
intensity_3,transformer,bertimbau_weighted,raw,1,0.7478109497340267,0.020216652949497278,0.5712050078247262,0.044373855645564356,0.6465126919420104,0.021806964946511777,213
intensity_3,transformer,bertimbau_weighted,raw,2,0.5735046020458282,0.011263087130966907,0.73,0.02645751311064593,0.6421456771466072,0.011370586149935486,100
intensity_3,baseline,majority_baseline,none,0,0.0,0.0,0.0,0.0,0.0,0.0,82
intensity_3,baseline,majority_baseline,none,1,0.5392405063291139,0.0,1.0,0.0,0.7006578947368421,0.0,213
intensity_3,baseline,majority_baseline,none,2,0.0,0.0,0.0,0.0,0.0,0.0,100
intensity_3,baseline,stratified_random_baseline,none,0,0.23266922094508302,0.0410437889596661,0.23577235772357721,0.018628356483560326,0.2338213025347695,0.029447367523751496,82
intensity_3,baseline,stratified_random_baseline,none,1,0.5328520499108734,0.0034713520568515916,0.5226917057902973,0.031957085847671554,0.5273252850574255,0.014332651639261933,213
intensity_3,baseline,stratified_random_baseline,none,2,0.21457672082997772,0.05941420217796416,0.21999999999999997,0.06999999999999999,0.2170284110582618,0.06390514177719778,100
intensity_3,tfidf,tfidf_char_logreg_raw,raw,0,0.6045163419354647,0.0068730547457443196,0.7398373983739838,0.030690383883214455,0.6652641468283926,0.016562790680338037,82
intensity_3,tfidf,tfidf_char_logreg_raw,raw,1,0.7040622647791094,0.013889505137308692,0.6431924882629109,0.009389671361502372,0.6721326380176835,0.003819966777958531,213
intensity_3,tfidf,tfidf_char_logreg_raw,raw,2,0.5003952991452991,0.016997950544238,0.5,0.010000000000000009,0.5000653594771242,0.009902122563876115,100
intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0,0.5706282513005202,0.011425603469603184,0.7073170731707318,0.021122570824010718,0.6315365935570539,0.011181800990526373,82
intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,0.69680342822292,0.0057406162626833296,0.6400625978090767,0.027509226652968604,0.6670137665018884,0.0148929569030547,213
intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,0.5161181292894849,0.030970023661981025,0.5033333333333333,0.023094010767585042,0.5094094993670221,0.023773407104817058,100
intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,0,0.6615637860082305,0.032646171200163374,0.6300813008130081,0.0549908506441817,0.6452808930222865,0.04438378510813832,82
intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,1,0.668069226624151,0.013638399200783937,0.7433489827856025,0.021170186632971346,0.7036575051516077,0.01582785146248554,213
intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,2,0.5378284267173156,0.023576506719044564,0.43,0.010000000000000009,0.4778695139363089,0.015330404508026217,100
intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,0.6172209589657318,0.023088443412415133,0.5691056910569106,0.00704085694133681,0.5920766979719613,0.012719854542981667,82
intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,0.6554494643688868,0.009723392046715976,0.6995305164319249,0.008131693932248232,0.676770024638557,0.008885922896149498,213
intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,2,0.47123705183208703,0.012952499388876854,0.43333333333333335,0.0057735026918962675,0.45142799110713927,0.007055348987225071,100
intensity_3,tfidf,tfidf_word_logreg_raw,raw,0,0.5948550293903969,0.01072739106486129,0.7276422764227641,0.007040856941336898,0.6545149545149546,0.005421430720187527,82
intensity_3,tfidf,tfidf_word_logreg_raw,raw,1,0.6868496427319957,0.005467596518772321,0.6416275430359938,0.009773079809700179,0.6634106197223414,0.0028198761219241177,213
