task,family,model,input,gold_label,pred_label,row_normalized_mean,row_normalized_std,count_mean
acceptance_3,transformer,bertimbau_weighted,raw,0,0,0.6506024096385542,0.06024096385542166,54.0
acceptance_3,transformer,bertimbau_weighted,raw,0,1,0.2369477911646586,0.048692191377438306,19.666666666666668
acceptance_3,transformer,bertimbau_weighted,raw,1,-1,0.22608695652173913,0.008695652173913049,26.0
acceptance_3,transformer,bertimbau_weighted,raw,1,0,0.12173913043478261,0.017391304347826087,14.0
acceptance_3,transformer,bertimbau_weighted,raw,1,1,0.6521739130434782,0.015061311370164088,75.0
acceptance_5,baseline,majority_baseline,none,-2,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-2,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-2,0,1.0,0.0,31.0
acceptance_5,baseline,majority_baseline,none,-2,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-2,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,0,1.0,0.0,72.0
acceptance_5,baseline,majority_baseline,none,-1,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,-1,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,0,1.0,0.0,82.0
acceptance_5,baseline,majority_baseline,none,0,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,0,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,0,1.0,0.0,26.0
acceptance_5,baseline,majority_baseline,none,1,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,1,2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,-2,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,-1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,0,1.0,0.0,33.0
acceptance_5,baseline,majority_baseline,none,2,1,0.0,0.0,0.0
acceptance_5,baseline,majority_baseline,none,2,2,0.0,0.0,0.0
