n,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,linear_weighted_kappa,quadratic_weighted_kappa,mae,task,family,model,input,seed,evaluation_unit
244,0.6680327868852459,0.5641254584212885,0.5641440219753473,0.6472762813371148,0.5496000546933753,0.6129668630535043,0.6693725646917774,0.48770491803278687,acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,7,all OOF predictions pooled once per item within seed
244,0.6516393442622951,0.569351201294553,0.5686627855926101,0.6382177151266883,0.5316275603531989,0.5876996104532672,0.6311467695637851,0.5368852459016393,acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,42,all OOF predictions pooled once per item within seed
244,0.6475409836065574,0.5531750354724391,0.5499788395144225,0.6308665434423351,0.524894151742251,0.552648688008738,0.5730495437389518,0.5778688524590164,acceptance_5,tfidf,tfidf_word_linearsvc_raw,raw,2026,all OOF predictions pooled once per item within seed
244,0.5860655737704918,0.5185753467618142,0.5148559884109017,0.571063195171861,0.4425317257447915,0.5130371675911046,0.5871699551996951,0.6311475409836066,acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
244,0.569672131147541,0.5056409278281819,0.5051665031221027,0.5625286412633761,0.42445073460035043,0.48339788277820805,0.5534109816971714,0.6721311475409836,acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
244,0.6065573770491803,0.5371639441072957,0.5339365662621477,0.591102299108399,0.4697093181200761,0.5370861271375851,0.6120965814009085,0.5983606557377049,acceptance_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
244,0.6516393442622951,0.5468068691514796,0.5358135494624212,0.6302111197212411,0.5305036785512168,0.5685930361613711,0.590420769919427,0.5614754098360656,acceptance_5,tfidf,tfidf_word_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
244,0.6639344262295082,0.5817688016153791,0.5687759462759463,0.6479513200824676,0.5508463161675572,0.6134580567290284,0.6704632422455319,0.5163934426229508,acceptance_5,tfidf,tfidf_word_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
244,0.6516393442622951,0.569351201294553,0.5647650517177175,0.6394151854865051,0.5336286568775157,0.5601259394678042,0.5804484387179605,0.5819672131147541,acceptance_5,tfidf,tfidf_word_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
244,0.5983606557377049,0.5381644319488537,0.5255431197087663,0.5895815852148496,0.46752176720778504,0.5297072794647965,0.5889561001645689,0.6352459016393442,acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
244,0.5860655737704918,0.5376840944700898,0.5242846224124385,0.5790999564964,0.45297551663670066,0.5140398328005902,0.5796772786742259,0.6639344262295082,acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
244,0.6024590163934426,0.5390240081624817,0.5250899036217803,0.5916688729975594,0.4720264120638886,0.5325670498084291,0.5918165862220273,0.6352459016393442,acceptance_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
1497,0.509686038744155,0.5,0.33761061946902654,0.3441508385502569,0.0,,,,applicability,baseline,majority_baseline,none,7,all OOF predictions pooled once per item within seed
1497,0.509686038744155,0.5,0.33761061946902654,0.3441508385502569,0.0,,,,applicability,baseline,majority_baseline,none,42,all OOF predictions pooled once per item within seed
1497,0.509686038744155,0.5,0.33761061946902654,0.3441508385502569,0.0,,,,applicability,baseline,majority_baseline,none,2026,all OOF predictions pooled once per item within seed
1497,0.5016700066800267,0.501405251748976,0.5013974561832748,0.5016232837377264,0.002810940164834741,,,,applicability,baseline,stratified_random_baseline,none,7,all OOF predictions pooled once per item within seed
1497,0.49766199064796257,0.49736984011913393,0.4973549320426497,0.49759559959816524,-0.005261409543403817,,,,applicability,baseline,stratified_random_baseline,none,42,all OOF predictions pooled once per item within seed
1497,0.48830995323981297,0.48863567375303996,0.4882823237930678,0.48820948252437585,-0.022705138221475574,,,,applicability,baseline,stratified_random_baseline,none,2026,all OOF predictions pooled once per item within seed
1497,0.8610554442217769,0.8634888097678388,0.8593883781001066,0.8590917835140427,0.7233816490354035,,,,applicability,tfidf,tfidf_char_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
1497,0.8597194388777555,0.8621523028629996,0.858036343274146,0.8577368968170622,0.7207218571992055,,,,applicability,tfidf,tfidf_char_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
1497,0.8603874415497662,0.8627817199424329,0.8587741586316567,0.8584817511027495,0.7220302692425582,,,,applicability,tfidf,tfidf_char_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
1497,0.8583834335337341,0.8606863413815392,0.8568885281385281,0.8566051800570839,0.7179894114071739,,,,applicability,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
