task,family,model,input,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,cohen_kappa_mean,cohen_kappa_std,linear_weighted_kappa_mean,linear_weighted_kappa_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,mae_mean,mae_std
intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.6067510548523206,0.011693170008903771,0.6004003969617161,0.009926501198813222,0.5896483619507408,0.011880009767987322,0.6074301633170364,0.011469008255072792,0.35972312610853213,0.01648208068718435,0.4127730337231467,0.016119178065257353,0.48083650728737,0.020069218372894774,0.4278481012658228,0.014095605981848162
intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.6050632911392405,0.004384938753338953,0.5673231802740563,0.0025259738747033457,0.5734249045725526,0.0034928758298436334,0.602139502765639,0.00475261626137007,0.33165558751715735,0.007696572448348637,0.3754679184403101,0.0029227538945571655,0.4342170238920713,0.016104209474674263,0.42953586497890295,0.0029232925022259207
intensity_3,baseline,stratified_random_baseline,none,0.38649789029535864,0.02406173405803083,0.3261546878379582,0.02497097924645808,0.3260583328834856,0.025152258579455893,0.3878391737491365,0.020425416722303472,-0.01364966837319607,0.028722046834686828,-0.013233091704320929,0.051682107793930954,-0.012424557888269572,0.0820654808138187,0.7223628691983123,0.04937249781032937
intensity_3,baseline,majority_baseline,none,0.5392405063291139,0.0,0.3333333333333333,0.0,0.23355263157894737,0.0,0.37782311792138573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4607594936708861,0.0
intensity_5,tfidf,tfidf_char_logreg_raw,raw,0.5423497267759563,0.02103115344035605,0.4634887130863603,0.032121633600617185,0.47181561197692856,0.03682086373529961,0.524392544424916,0.025047972939654432,0.37936449178694387,0.02899020903700631,0.515331527290372,0.01287403444084902,0.6206173775793186,0.002871320605828009,0.7021857923497268,0.022572010439697116
intensity_5,tfidf,tfidf_word_linearsvc_raw,raw,0.5300546448087432,0.011830948139131648,0.45070558733118843,0.021789687338690966,0.4602266752509585,0.02158372258289613,0.518574579096637,0.013392031155181013,0.36778647016944294,0.016591159340027296,0.48334476475644134,0.0008729577538228183,0.5766114879033646,0.017640653424596798,0.7363387978142076,0.004732379255652675
intensity_5,tfidf,tfidf_word_logreg_raw,raw,0.5136612021857924,0.015516143021312207,0.4315083759635711,0.028037635868034295,0.43525794759181063,0.02452956509749813,0.5018703654111417,0.014829697677609633,0.34765910631673663,0.022637735936280105,0.464124398319163,0.010324728333375768,0.55977693009149,0.002502101874179463,0.773224043715847,0.004732379255652643
intensity_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.49180327868852464,0.02281870640504107,0.4182603497377509,0.029237979022665023,0.41915324872475584,0.03147826922103407,0.47376788025310895,0.024728089355829014,0.3152642008469511,0.03069272374952,0.4421945995937562,0.016253017767972302,0.5434776011460197,0.015109075680426961,0.8128415300546448,0.02062796293789819
intensity_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.46311475409836067,0.032529729234400694,0.39156893974206636,0.043271059936631155,0.40114890715868484,0.04889964721552374,0.45184821195427577,0.03810030993130901,0.27842388767621834,0.045182052867509634,0.4090253784022207,0.02038790396650766,0.5226575641128287,0.023100903196125008,0.8551912568306012,0.02907622493687542
intensity_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.4344262295081967,0.01878104793014689,0.3665624492813963,0.022039177336839084,0.3698646390490905,0.01599236192902808,0.42169124580916933,0.015139372333588351,0.24169309899890698,0.026256485233271402,0.3770512743999346,0.0242884231908229,0.493929129512554,0.015157266662057496,0.907103825136612,0.023304265176546407
intensity_5,baseline,stratified_random_baseline,none,0.2581967213114754,0.02559425409179671,0.20919341694445634,0.016891825605269768,0.2085472428481531,0.016327751768204855,0.2570753442263521,0.025214814012900533,0.02052247792936886,0.03377452242443137,0.017976934959635853,0.04685267619486678,0.025402438603806605,0.06157199323484663,1.4316939890710383,0.055340516668112225
intensity_5,baseline,majority_baseline,none,0.3360655737704918,0.0,0.20000000000000004,0.0,0.10061349693251535,0.0,0.16906366287840693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4918032786885247,0.0
